"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cddi_alc_last_type_other,cddi_currdrugs_daily_interview,,text,"What kind of alcoholic beverage?",,,,,,,"[cddi_alc_last_type] = 4",,,,,,
cddi_alc_last_beer_oz,cddi_currdrugs_daily_interview,,text,"How much beer did you drink?",,Ounces/Bottles/Cans/Glasses,number,0,9999,,"[cddi_alc_last_type] = 1",,,,,,
cddi_alc_last_wine_oz,cddi_currdrugs_daily_interview,,text,"How much wine did you drink?",,Ounces/Bottles/Cans/Glasses,number,0,100,,"[cddi_alc_last_type] = 2",,,,,,
cddi_alc_last_liq_oz,cddi_currdrugs_daily_interview,,text,"How much liquor did you drink?",,Ounces/Bottles/Cans/Glasses,number,0,100,,"[cddi_alc_last_type] = 3",,,,,,
cddi_alc_last_other_oz,cddi_currdrugs_daily_interview,,text,"How much of the alcoholic beverage did you drink?",,Ounces/Bottles/Cans/Glasses,number,0,100,,"[cddi_alc_last_type] = 4",,,,,,
cddi_anydrugs_yn,cddi_currdrugs_daily_interview,,yesno,"Do you use or have you ever used any substances?
",,,,,,,,y,,,,,
cddi_anydrugs_type,cddi_currdrugs_daily_interview,,checkbox,"Which substances have you used?","1, Heroin | 2, Methadone | 3, Cocaine (free-base cocaine or ""crack"") | 4, Opiates (morphine, oxycodone/OxyContin/Percocet, hydrocodone, codeine, fentanyl, robitussin) | 5, Barbiturates | 6, Sedatives/Hypnotics/Tranquilizers (Benzodiazepines like Valium, Librium, Ativan, Xanax; Quaaludes) | 7, Amphetamines (Methamphetamine, Speed, Crystal, Ritalin, Ice) | 8, Cannabis | 9, Hallucinogens (LSD/Acid, Mescaline, Mushrooms/Psilocybin, PCP, Angel Dust, Ecstacy/molly) | 10, Inhalants (Nitrous Oxide, Whippits/Poppers, Glue, solvents, gasoline, toluene, etc.) | 11, Other",,,,,,[cddi_anydrugs_yn]=1,,,,,,
cddi_her_desc,cddi_currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><h6>Heroin Questions:</h6> <table style=""border-collapse: collapse; width: 100%; border-style: hidden;"" border=""1""> <tbody> <tr> <td style=""width: 33.7952%; border-style: hidden;""> <p>Does the participant remember the exact date they last used heroin?</p> </td> <td style=""width: 66.1765%; height: 50%;"" colspan=""2"">{cddi_her_last_check}</td> </tr> <tr> <td style=""width: 33.7952%;"">When was the last time you used heroin?</td> <td style=""width: 30.8258%; border-style: hidden;""> <p>{cddi_her_last_date_exac}</p> <p>{cddi_her_abs_approx_num}</p> </td> <td style=""width: 35.3507%; border-style: hidden;""> <p>{cddi_her_abs_exac_days}</p> <p>{cddi_her_abs_approx_units}</p> </td> </tr> <tr> <td style=""width: 33.7952%; border-style: hidden;"">How many days did you use heroin in the past 30 days?</td> <td style=""width: 66.1765%; border-style: hidden;"" colspan=""2"">{cddi_her_past30} days</td> </tr> <tr> <td style=""width: 33.7952%; border-style: hidden;"">How much heroin did you use last time?</td> <td style=""width: 30.8258%;"">Enter amount here: {cddi_her_last_amt_num}</td> <td style=""width: 35.3507%; border-style: hidden;""> <p>Pick unit here:</p> <p>{cddi_her_last_amt_unit}<br />{cddi_her_last_amt_unit_other}</p> </td> </tr> <tr> <td style=""width: 33.7952%;"">How much money did you spend on heroin last time you used?</td> <td style=""width: 66.1765%; border-style: hidden;"" colspan=""2""> <p>{cddi_her_last_money} dollars (USD $)</p> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[curr_used_otherdrugs_type] = 1",,,,,,
cddi_her_last_check,cddi_currdrugs_daily_interview,,yesno,"Does the participant remember the exact date they last used heroin?",,,,,,,"[curr_used_otherdrugs_type] = 1",,,,,,
cddi_her_last_date_exac,cddi_currdrugs_daily_interview,,text,"When was the last time you used heroin?",,date,date_mdy,2000-01-01,2026-12-31,,"[curr_used_otherdrugs_type] = 1 and [cddi_her_last_check] = 1",y,,,,,
cddi_her_abs_exac_days,cddi_currdrugs_daily_interview,,calc,"Current abstinence from heroin (in days)","datediff ([cddi_her_last_date_exac], [cddi_survey_date], 'd')",,,,,,"[curr_used_otherdrugs_type] = 1 and [cddi_her_last_check] = 1",,,,,,
cddi_her_abs_approx_num,cddi_currdrugs_daily_interview,,text,"When was the last time you use any heroin (number)?",,"Please enter a number to represent number of units abstinent",number,0,,,"[curr_used_otherdrugs_type] = 1 and [cddi_her_last_check] = 0",y,,,,,
cddi_her_abs_approx_units,cddi_currdrugs_daily_interview,,radio,"When was the last time you use any heroin (unit)?","1, hours ago | 2, days ago | 3, months ago | 4, years ago",,,,,,"[curr_used_otherdrugs_type] = 1 and [cddi_her_last_check] = 0",y,,,,,
cddi_her_past30,cddi_currdrugs_daily_interview,,text,"How many days did you use heroin in the past 30 days? ",,,number,0,30,,"[curr_used_otherdrugs_type] = 1",y,,,,,
cddi_her_last_amt_num,cddi_currdrugs_daily_interview,,text,"How much heroin did you use last time (number)?",,,,,,,"[curr_used_otherdrugs_type] = 1",y,,,,,
cddi_her_last_amt_unit,cddi_currdrugs_daily_interview,,radio,"Please select the type of unit here:","1, grams | 2, ounces | 3, joints | 4, puffs | 5, hits | 6, tokes | 7, bags | 8, lines | 9, pills | 10, syringes | 11, other",,,,,,"[curr_used_otherdrugs_type] = 1",y,,,,,
cddi_her_last_amt_unit_other,cddi_currdrugs_daily_interview,,text,"please specify:",,,,,,,"[cddi_anydrugs_yn] = 1 and [cddi_her_last_amt_unit] = 11",y,,,,,
cddi_her_last_money,cddi_currdrugs_daily_interview,,text,"How much money($) did you spend on heroin last time you used?",,,,,,,"[curr_used_otherdrugs_type] = 1",y,,,,,
cddi_coc_table,cddi_currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><h6>Cocaine Questions:</h6> <table style=""border-collapse: collapse; width: 100%; border-style: hidden;"" border=""1""> <tbody> <tr> <td style=""width: 50%; border-style: hidden;""> <p>Does the participant remember the exact date they last used crack/cocaine?</p> </td> <td style=""width: 50%; height: 50%; border-style: hidden;"" colspan=""2"">{cddi_coc_last_check}</td> </tr> <tr> <td style=""width: 50%;"">When was the last time you used crack/cocaine?</td> <td style=""width: 25%; border-style: hidden;""> <p>{cddi_coc_last_date_exac}</p> <p>{cddi_coc_abs_approx_num}</p> </td> <td style=""width: 25%;""> <p>{cddi_coc_abs_exac_days}</p> <p>{cddi_coc_abs_approx_units}</p> </td> </tr> <tr> <td style=""width: 50%; border-style: hidden;"">How many days did you use crack/cocaine in the past 30 days?</td> <td style=""width: 50%; border-style: hidden;"" colspan=""2"">{cddi_coc_past30} days</td> </tr> <tr> <td style=""width: 50%; border-style: hidden;"">How much crack/cocaine did you use last time?</td> <td style=""width: 25%; border-style: hidden;"">Enter amount here: {cddi_coc_last_amt_num}</td> <td style=""width: 25%; border-style: hidden;""> <p>Pick unit here:</p> <p>{cddi_coc_last_amt_unit}<br />{cddi_coc_last_amt_unit_other}</p> </td> </tr> <tr> <td style=""width: 50%; border-style: hidden;"">How much money did you spend on crack/cocaine last time you used?</td> <td style=""border-style: hidden;"" colspan=""2""> <p>{cddi_coc_last_money} dollars </p> </td> </tr> <tr> <td style=""width: 50%; border-style: hidden;"">Are you currently trying to cut down or quit using crack/cocaine?</td> <td style=""width: 25%; border-style: hidden;"" colspan=""2""> <p>{cddi_coc_quit_yn}</p> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[curr_used_otherdrugs_type] = 3",,,,,,
cddi_coc_last_check,cddi_currdrugs_daily_interview,,yesno,"Does the participant remember the exact date they last used crack/cocaine?",,,,,,,[curr_coc_yn]=1,y,,,,,
cddi_coc_last_date_exac,cddi_currdrugs_daily_interview,,text,"When was the last time you used crack/cocaine?",,date,date_mdy,2000-01-01,2026-12-31,,[cddi_coc_last_check]=1,y,,,,,
cddi_coc_abs_exac_days,cddi_currdrugs_daily_interview,,calc,"Current abstinence from crack/cocaine (in days)","datediff ([curr_coc_lastuse_exact_date], [cddi_survey_date], 'd')",,,,,,[cddi_coc_last_check]=1,,,,,,
cddi_coc_abs_approx_num,cddi_currdrugs_daily_interview,,text,"When was the last time you use any crack/cocaine (number)?",,"Please enter a number to represent number of units abstinent",number,0,,,"[cddi_coc_last_check]=0 and [curr_coc_yn]=1",y,,,,,
cddi_coc_abs_approx_units,cddi_currdrugs_daily_interview,,radio,"When was the last time you use any crack/cocaine (unit)?","1, hours ago | 2, days ago | 3, months ago | 4, years ago",,,,,,"[cddi_coc_last_check]=0 and [curr_coc_yn]=1",y,,,,,
cddi_coc_past30,cddi_currdrugs_daily_interview,,text,"How many days did you use crack/cocaine in the past 30 days?",,,number,0,30,,[curr_coc_yn]=1,y,,,,,
cddi_coc_last_amt_num,cddi_currdrugs_daily_interview,,text,"How much crack/cocaine did you use last time (number)?",,,,,,,[curr_coc_yn]=1,y,,,,,
cddi_coc_last_amt_unit,cddi_currdrugs_daily_interview,,radio,"Please select the type of unit here:","1, grams | 2, ounces | 3, joints | 4, puffs | 5, hits | 6, tokes | 7, bags | 8, lines | 9, pills | 10, syringes | 11, other",,,,,,[curr_coc_yn]=1,y,,,,,
cddi_coc_last_amt_unit_other,cddi_currdrugs_daily_interview,,text,"please specify:",,,,,,,"[cocaine_currdrugs]='1' and [unit_used_coc_last_currdrugs] = '11'",y,,,,,
cddi_coc_last_money,cddi_currdrugs_daily_interview,,text,"How much money did you spend on crack/cocaine last time you used?",,,,,,,[curr_coc_yn]=1,y,,,,,
cddi_coc_quit_yn,cddi_currdrugs_daily_interview,,yesno,"Are you currently trying to cut down or quit using crack/cocaine?",,,,,,,[curr_coc_yn]=1,,,,,,
cddi_hall_desc,cddi_currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><h6>Hallucinogens Questions:</h6> <table style=""border-collapse: collapse; width: 100%; border-style: hidden;"" border=""1""> <tbody> <tr> <td style=""width: 50%; border-style: hidden;""> <p>Does the participant remember the exact date they last used hallucinogens?</p> </td> <td style=""width: 50%; height: 50%;"" colspan=""2"">{cddi_hall_last_check}</td> </tr> <tr> <td style=""width: 50%;"">When was the last time you used hallucinogens?</td> <td style=""width: 25%; border-style: hidden;""> <p>{cddi_hall_last_date_exac}</p> <p>{cddi_hall_abs_approx_num}</p> </td> <td style=""width: 25%; border-style: hidden;""> <p>{cddi_hall_abs_exac_days}</p> <p>{cddi_hall_abs_approx_units}</p> </td> </tr> <tr> <td style=""width: 50%; border-style: hidden;"">How many days did you use hallucinogens in the past 30 days?</td> <td style=""width: 50%;"" colspan=""2"">{cddi_hall_past30} days</td> </tr> <tr> <td style=""width: 50%;"">How much hallucinogens did you use last time?</td> <td style=""width: 25%; border-style: hidden;"">Enter amount here: {cddi_hall_last_amt_num}</td> <td style=""width: 25%; border-style: hidden;""> <p>Pick unit here:</p> <p>{cddi_hall_last_amt_unit}<br />{cddi_hall_last_amt_unit_other}</p> </td> </tr> <tr> <td style=""width: 50%; border-style: hidden;"">How much money did you spend on hallucinogens last time you used?</td> <td colspan=""2""> <p>{curr_hall_last_money} dollars </p> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[curr_used_otherdrugs_type] = 9",,,,,,
cddi_hall_last_check,cddi_currdrugs_daily_interview,,yesno,"Does the participant remember the exact date they last used hallucinogens?",,,,,,,"[curr_used_otherdrugs_type] = 9",,,,,,
cddi_hall_last_date_exac,cddi_currdrugs_daily_interview,,text,"When was the last time you used hallucinogens?",,date,date_mdy,2000-01-01,2026-12-31,,"[curr_used_otherdrugs_type] = 9 and [cddi_hall_last_check] = 1",y,,,,,
cddi_hall_abs_exac_days,cddi_currdrugs_daily_interview,,calc,"Current abstinence from hallucinogens (in days)","datediff ([cddi_hall_last_date_exac], [cddi_survey_date], 'd')",,,,,,"[curr_used_otherdrugs_type] = 9 and [cddi_hall_last_check] = 1",,,,,,
cddi_hall_abs_approx_units,cddi_currdrugs_daily_interview,,radio,"When was the last time you use any hallucinogens (unit)?","1, hours ago | 2, days ago | 3, months ago | 4, years ago",,,,,,"[curr_used_otherdrugs_type] = 9 and [cddi_hall_last_check] = 0",y,,,,,
cddi_hall_abs_approx_num,cddi_currdrugs_daily_interview,,text,"When was the last time you use any hallucinogens (number)?",,"Please enter a number to represent number of units abstinent",number,0,,,"[curr_used_otherdrugs_type] = 9 and [cddi_hall_last_check] = 0",y,,,,,
cddi_hall_past30,cddi_currdrugs_daily_interview,,text,"How many days did you use hallucinogens in the past 30 days? ",,,number,0,30,,"[curr_used_otherdrugs_type] = 9",y,,,,,
cddi_hall_last_amt_num,cddi_currdrugs_daily_interview,,text,"How much hallucinogens did you use last time?",,,,,,,"[curr_used_otherdrugs_type] = 9",,,,,,
cddi_hall_last_amt_unit,cddi_currdrugs_daily_interview,,radio,"Please select the type of unit here:","1, grams | 2, ounces | 3, joints | 4, puffs | 5, hits | 6, tokes | 7, bags | 8, lines | 9, pills | 10, syringes | 11, other",,,,,,"[curr_used_otherdrugs_type] = 9",y,,,,,
cddi_hall_last_amt_unit_other,cddi_currdrugs_daily_interview,,text,"please specify:",,,,,,,"[used_whichdrug_currdrugs(2)] = '1' and [unit_used_hall_last_currdrugs] = '11'",y,,,,,
cddi_hall_last_money,cddi_currdrugs_daily_interview,,text,"How much money($) did you spend on hallucinogens last time you used?",,,,,,,"[curr_used_otherdrugs_type] = 9",y,,,,,
cddi_thc_desc,cddi_currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><p> </p> <p><span style=""text-decoration: underline;"">Marijuana</span></p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 50%;""> <p>Does the participant remember the exact date they last used marijuana?</p> </td> <td style=""width: 50%; height: 50%;"" colspan=""2"">{cddi_thc_last_check}</td> </tr> <tr> <td style=""width: 50%;"">When was the last time you used marijuana?</td> <td style=""width: 25%;""> <p>{used_drugs_last_thc_currdrugs}</p> <p>{cddi_thc_abs_approx_num}</p> </td> <td style=""width: 25%;""> <p>{cddi_thc_abs_exac}</p> <p>{cddi_thc_abs_approx_units}</p> </td> </tr> <tr> <td style=""width: 50%;"">How many days did you use marijuana in the past 30 days?</td> <td style=""width: 50%;"" colspan=""2"">{thc_past30days_currdrugs} days</td> </tr> <tr> <td style=""width: 50%;"">How much marijuana did you use last time?</td> <td style=""width: 25%;"">Enter amount here: {thc_amt_currdrugs}</td> <td style=""width: 25%;""> <p>Pick unit here:</p> <p>{unit_used_thc_last_currdrugs}<br />{unit_other_used_thc_last_currdrugs}</p> </td> </tr> <tr> <td style=""width: 50%;"">How much money did you spend on marijuana last time you used?</td> <td colspan=""2""> <p>{money_used_thc_last_currdrugs} dollars (USD $)</p> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[used_whichdrug_currdrugs(3)] = '1'",,,,,,
cddi_thc_last_check,cddi_currdrugs_daily_interview,,yesno,"Does the participant remember the exact date they last used marijuana?",,,,,,,"[used_whichdrug_currdrugs(3)] = '1'",,,,,,
cddi_thc_last_date,cddi_currdrugs_daily_interview,,text,"When was the last time you used marijuana?",,date,date_mdy,2000-01-01,2026-12-31,,"[used_whichdrug_currdrugs(3)] = '1' and [cddi_thc_last_check] = '1'",,,,,,
cddi_thc_abs_exac,cddi_currdrugs_daily_interview,,calc,"Current abstinence from marijuana (in days)","datediff ([cddi_thc_last_date], [cddi_survey_date], 'd')",,,,,,"[used_whichdrug_currdrugs(3)] = '1' and [cddi_thc_last_check] = '1'",,,,,,
cddi_thc_abs_approx_units,cddi_currdrugs_daily_interview,,radio,"When was the last time you use any marijuana (unit)?","1, hours ago | 2, days ago | 3, months ago | 4, years ago",,,,,,"[used_whichdrug_currdrugs(3)] = '1' and [cddi_thc_last_check] = '0'",y,,,,,
cddi_thc_abs_approx_num,cddi_currdrugs_daily_interview,,text,"When was the last time you use any marijuana (number)?",,"Please enter a number to represent number of units abstinent",number,0,,,"[used_whichdrug_currdrugs(3)] = '1' and [cddi_thc_last_check] = '0'",y,,,,,
cddi_thc_past30,cddi_currdrugs_daily_interview,,text,"How many days did you use marijuana in the past 30 days? ",,,number,0,30,,"[used_whichdrug_currdrugs(3)] = '1'",,,,,,
cddi_thc_last_amt_num,cddi_currdrugs_daily_interview,,text,"How much marijuana did you use last time?",,,,,,,"[used_whichdrug_currdrugs(3)] = '1'",,,,,,
cddi_thc_last_amt_unit,cddi_currdrugs_daily_interview,,radio,"Please select the type of unit here:","1, grams | 2, ounces | 3, joints | 4, puffs | 5, hits | 6, tokes | 7, bags | 8, lines | 9, pills | 10, syringes | 11, other",,,,,,"[used_whichdrug_currdrugs(3)] = '1'",y,,,,,
cddi_thc_last_amt_unit_other,cddi_currdrugs_daily_interview,,text,"please specify:",,,,,,,"[used_whichdrug_currdrugs(3)] = '1' and [unit_used_thc_last_currdrugs] = '11'",y,,,,,
cddi_thc_last_money,cddi_currdrugs_daily_interview,,text,"How much money($) did you spend on marijuana last time you used?",,,,,,,"[used_whichdrug_currdrugs(3)] = '1'",y,,,,,
cddi_otheropioid_desc,cddi_currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><p> </p> <p><span style=""text-decoration: underline;"">Other Opioids</span></p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 50%;""> <p>Does the participant remember the exact date they last used other opioids?</p> </td> <td style=""width: 50%; height: 50%;"" colspan=""2"">{cddi_otheropioid_last_check}</td> </tr> <tr> <td style=""width: 50%;"">When was the last time you used other opioids?</td> <td style=""width: 25%;""> <p>{cddi_otheropioid_last}</p> <p>{cddi_otheropioid_abs_approx_num}</p> </td> <td style=""width: 25%;""> <p>{cddi_otheropioid_abs_exac}</p> <p>{cddi_otheropioid_abs_approx_units}</p> </td> </tr> <tr> <td style=""width: 50%;"">How many days did you use other opioids in the past 30 days?</td> <td style=""width: 50%;"" colspan=""2"">{cddi_otheropioid_past30} days</td> </tr> <tr> <td style=""width: 50%;"">How much other opioids did you use last time?</td> <td style=""width: 25%;"">Enter amount here: {cddi_otheropioid_amt}</td> <td style=""width: 25%;""> <p>Pick unit here:</p> <p>{cddi_otheropioid_last_unit}<br />{cddi_otheropioid_last_otherunit}</p> </td> </tr> <tr> <td style=""width: 50%;"">How much money did you spend on other opioids last time you used?</td> <td colspan=""2""> <p>{cddi_otheropioid_last_money} dollars (USD $)</p> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[used_whichdrug_currdrugs(4)] = '1'",,,,,,
cddi_otheropioid_last_check,cddi_currdrugs_daily_interview,,yesno,"Does the participant remember the exact date they last used other opioids?",,,,,,,"[used_whichdrug_currdrugs(4)] = '1'",,,,,,
cddi_otheropioid_last,cddi_currdrugs_daily_interview,,text,"When was the last time you used other opioids?",,date,date_mdy,2000-01-01,2026-12-31,,"[used_whichdrug_currdrugs(4)] = '1' and [cddi_otheropioid_last_check] = '1'",,,,,,
cddi_otheropioid_abs_exac,cddi_currdrugs_daily_interview,,calc,"Current abstinence from other opioids (in days)","datediff ([cddi_otheropioid_last], [survey_date_currdrugs], 'd')",,,,,,"[used_whichdrug_currdrugs(4)] = '1' and [cddi_otheropioid_last_check] = '1'",,,,,,
cddi_otheropioid_abs_approx_units,cddi_currdrugs_daily_interview,,radio,"When was the last time you use any other opioids (unit)?","1, hours ago | 2, days ago | 3, months ago | 4, years ago",,,,,,"[used_whichdrug_currdrugs(4)] = '1' and [cddi_otheropioid_last_check] = '0'",y,,,,,
cddi_otheropioid_abs_approx_num,cddi_currdrugs_daily_interview,,text,"When was the last time you use any other opioids (number)?",,"Please enter a number to represent number of units abstinent",number,0,,,"[used_whichdrug_currdrugs(4)] = '1' and [cddi_otheropioid_last_check] = '0'",y,,,,,
cddi_otheropioid_past30,cddi_currdrugs_daily_interview,,text,"How many days did you use other opioids in the past 30 days? ",,,number,0,30,,"[used_whichdrug_currdrugs(4)] = '1'",,,,,,
